Trial 1,1667,841,1168,768,1040,691,908,637,843,618,815,591,796,576,773,561,752,543,721,542,715,536,709,536,706,535,711,533,704,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,530,702,529,704,532,700,529,700,
Trial 2,1667,865,1209,750,1012,670,902,634,847,617,806,599,785,593,762,571,759,565,739,562,745,568,735,560,742,562,733,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,556,735,556,729,557,732,560,727,554,735,558,728,558,733,558,728,556,734,558,728,556,732,559,728,
Trial 3,1665,826,1154,724,989,665,853,609,775,568,731,545,690,525,672,523,670,517,669,520,675,523,673,523,670,520,673,518,667,513,656,506,657,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,504,651,504,648,501,651,
Trial 4,1667,870,1193,781,1044,693,929,647,852,614,792,578,744,557,727,547,703,539,698,538,689,533,693,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,531,682,531,684,532,682,530,687,
Trial 5,1667,891,1264,791,1096,746,989,665,891,620,821,587,785,586,764,581,759,572,738,565,735,560,724,557,724,553,719,552,716,544,713,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,543,706,540,705,
Trial 6,1667,886,1249,768,1024,693,922,642,845,613,794,587,765,590,757,564,723,560,715,550,707,546,698,544,698,546,699,545,698,542,697,541,698,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,537,693,538,689,539,693,536,692,538,691,540,691,538,693,538,690,538,693,539,691,539,692,540,692,
Trial 7,1667,866,1193,753,1043,669,908,624,849,594,775,584,775,564,744,561,734,557,728,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,555,728,553,727,552,726,557,727,550,729,554,728,555,727,554,726,552,729,556,728,552,729,554,726,
Trial 8,1667,861,1188,741,998,662,881,604,789,562,759,536,700,518,676,512,671,506,657,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,505,652,
Trial 9,1667,814,1144,732,967,663,841,613,793,595,752,565,721,554,715,552,706,548,708,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,544,699,547,700,544,699,547,701,
Trial 10,1667,850,1179,761,1037,671,883,628,819,605,777,573,737,558,711,558,717,554,710,547,704,545,696,543,698,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,542,695,538,694,541,697,541,693,
