Trial 1,1667,1473,1315,1172,1054,931,843,719,598,500,450,411,367,355,346,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,339,341,
Trial 2,1667,1483,1358,1249,1138,1021,927,819,719,612,546,494,463,437,406,361,342,337,341,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,332,336,
Trial 3,1667,1449,1304,1161,1037,940,825,749,678,595,541,504,447,401,383,362,356,350,343,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,342,340,
Trial 4,1667,1456,1310,1173,1062,937,830,733,626,564,502,454,419,382,363,349,352,346,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,345,350,
Trial 5,1667,1473,1339,1229,1113,999,900,807,697,602,545,478,432,395,375,363,353,348,342,338,339,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,333,334,
Trial 6,1667,1490,1343,1235,1138,1011,877,789,701,597,519,472,419,393,366,364,361,358,349,352,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,348,346,
Trial 7,1667,1469,1338,1234,1120,996,885,782,686,602,549,484,462,414,402,392,385,375,370,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,365,366,
Trial 8,1667,1453,1299,1167,1050,922,829,754,643,564,502,454,433,406,388,369,366,356,349,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,345,344,
Trial 9,1667,1477,1336,1221,1097,975,875,764,674,596,527,476,449,410,393,378,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,366,368,
Trial 10,1667,1483,1345,1234,1125,985,890,754,651,577,498,453,431,388,381,372,370,366,362,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,358,360,
